file_name,path,well_plate,well,plate,date_time,RFU,platekey,population,treatment,replicate,start_time,days,acclimation_conditions,experiment_conditions
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-11_0808am_191011_080849_0001_,data-raw/chlorophyll/aquatic-ecology-,D02_2,D02,2,2019-10-11T08:01:47Z,24,2,3.1,3,1,2019-10-09T16:00:09Z,1.6678009259259259,cycle_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-11_0808am_191011_080849_0001_,data-raw/chlorophyll/aquatic-ecology-,E02_2,E02,2,2019-10-11T08:01:47Z,67,2,3.8,3,8,2019-10-09T16:00:09Z,1.6678009259259259,cycle_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-11_0808am_191011_080849_0001_,data-raw/chlorophyll/aquatic-ecology-,F02_2,F02,2,2019-10-11T08:01:47Z,17,2,2.1,2,1,2019-10-09T16:00:09Z,1.6678009259259259,dark_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-11_0808am_191011_080849_0001_,data-raw/chlorophyll/aquatic-ecology-,G02_2,G02,2,2019-10-11T08:01:47Z,35,2,3.4,3,4,2019-10-09T16:00:09Z,1.6678009259259259,cycle_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-11_1653pm_191011_165310_0001_,data-raw/chlorophyll/aquatic-ecology-,B02_2,B02,2,2019-10-11T16:46:09Z,10,2,1.2,1,2,2019-10-09T16:00:09Z,2.0319444444444446,light_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-11_1653pm_191011_165310_0001_,data-raw/chlorophyll/aquatic-ecology-,C02_2,C02,2,2019-10-11T16:46:09Z,73,2,3.7,3,7,2019-10-09T16:00:09Z,2.0319444444444446,cycle_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-11_1653pm_191011_165310_0001_,data-raw/chlorophyll/aquatic-ecology-,D02_2,D02,2,2019-10-11T16:46:09Z,29,2,3.1,3,1,2019-10-09T16:00:09Z,2.0319444444444446,cycle_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-11_1653pm_191011_165310_0001_,data-raw/chlorophyll/aquatic-ecology-,E02_2,E02,2,2019-10-11T16:46:09Z,74,2,3.8,3,8,2019-10-09T16:00:09Z,2.0319444444444446,cycle_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-11_1653pm_191011_165310_0001_,data-raw/chlorophyll/aquatic-ecology-,F02_2,F02,2,2019-10-11T16:46:09Z,28,2,2.1,2,1,2019-10-09T16:00:09Z,2.0319444444444446,dark_acclimated,grown_in_light
data-raw/chlorophyll/aquatic-ecology-plate2-2019-10-11_1653pm_191011_165310_0001_,data-raw/chlorophyll/aquatic-ecology-,G02_2,G02,2,2019-10-11T16:46:09Z,53,2,3.4,3,4,2019-10-09T16:00:09Z,2.0319444444444446,cycle_acclimated,grown_in_light
